"payloadSizeInByte","messagesPerSecond","dataGenerationInMs","executionInMs","allSentInMs","minLatency","maxLatency","totalLatency","avgLatency","totalSentMessages","totalReceivedMessages"
"36","10","13.455457999998544","10167.392667999999","10167.42146","5.666665999999168","311.44454099999894","1088.5039169999945","10.885039169999946","100","100"
"128","10","15.146499999998923","10004.228167999998","10004.253418","5.664042000000336","16.87854199999856","720.7406699999883","7.207406699999883","100","100"
"512","10","14.289709000000585","10002.805167999999","10002.829459","5.956041999997979","19.512290999999095","712.3281710000228","7.123281710000229","100","100"
"1024","10","19.412499999998545","10003.088376","10003.109500999999","6.186499999996158","23.763708999998926","764.0684530000144","7.6406845300001445","100","100"
"36","50","24.4968330000047","10003.092834000003","10003.114418000005","4.893375000006927","54.103791000001365","3887.1114179999568","7.774222835999914","500","500"
"128","50","53.22937500000262","10015.529168000001","10015.55096","4.496584000000439","50.58012500000041","3282.9235319997533","6.565847063999507","500","500"
"512","50","113.37266599999566","10008.537626000005","10008.559793000008","4.567167000001064","44.58354099999997","3137.3983660001104","6.274796732000221","500","500"
"1024","50","79.48750000000291","10002.429625999997","10002.454792999997","4.505791000003228","41.536542000001646","2888.2666310000495","5.776533262000099","500","500"
"36","100","25.579832999996142","10002.086752000003","10002.109960000002","3.879665999993449","74.79249999999593","6110.792331000019","6.1107923310000185","1000","1000"
"128","100","111.85066700000607","10003.553085000007","10003.577042999998","3.7506670000002487","44.56549999999697","5396.993343999784","5.396993343999784","1000","1000"
"512","100","127.21795800000837","10002.04658400001","10002.069834000009","3.917416999989655","36.67712500000198","5596.038007999989","5.596038007999988","1000","1000"
"1024","100","258.7366670000047","10001.780127000005","10001.804126999996","4.039749999996275","27.097832999992534","5281.496816000115","5.281496816000115","1000","1000"
"36","500","125.075582999998","19668.366377","19668.390377000003","3.2488329999905545","58.15724999998929","25542.39193599923","5.108478387199845","5000","5000"
"128","500","381.6100410000072","20083.735710999987","20083.760294000007","3.334708000009414","97.97250000000349","25739.91017699911","5.1479820353998225","5000","5000"
"512","500","598.2499170000083","20283.87921100002","20283.902711000002","3.394040999992285","95.58799999998882","26737.862686000823","5.347572537200165","5000","5000"
"1024","500","913.3575419999834","21336.525794000016","21336.552169000002","3.5374160000064876","66.15575000000536","28815.008069999283","5.763001613999856","5000","5000"
"36","1000","331.6338340000075","37875.96437899998","37875.98746199999","3.191292000003159","78.31349999998929","49500.45046500032","4.9500450465000325","10000","10000"
"128","1000","835.5709590000042","38573.98879699997","38574.013962999976","3.2313750000321306","101.82341700000688","49073.22271400079","4.907322271400079","10000","10000"
"512","1000","1121.5104169999831","40866.69292200002","40866.71667200001","3.3730000000214204","131.59349999995902","52439.57399499882","5.243957399499882","10000","10000"
"1024","1000","1758.3228339999914","41985.87838000001","41985.90275499999","3.541166999959387","71.13091700000223","54769.76474899892","5.4769764748998915","10000","10000"
"36","5000","1351.1266250000335","188879.59281400003","188879.61723100004","3.1480000000447035","94.75441699998919","237463.02300399862","4.749260460079973","50000","50000"
"128","5000","4153.7462090000045","195815.6351480001","195815.65798200003","3.2227910000365227","181.05541699996684","239777.99024000822","4.795559804800164","50000","50000"
"512","5000","6244.031918000081","203620.185482","203620.201274","3.3462920000310987","138.72108299995307","256377.63410999568","5.127552682199913","50000","50000"
"1024","5000","8974.242001000093","210179.42402499984","210179.43515000003","3.51962500018999","155.54108300013468","277373.05950297357","5.5474611900594715","50000","50000"
"36","10000","3839.8357090000063","384449.61496199993","384449.6260869999","3.14933400019072","136.53324999986216","467447.4954430221","4.674474954430221","100000","100000"
"128","10000","9947.910501000006","392663.04246299993","392663.05396299995","3.2220830000005662","210.34683400020003","480749.27711503487","4.807492771150349","100000","100000"
"512","10000","13546.914042999968","408539.3825909998","408539.39488200005","3.332458000164479","186.77729099988937","498553.5113769467","4.985535113769467","100000","100000"
"1024","10000","19767.023711000104","426719.606468","426719.61888499977","3.510875000152737","185.41775000002235","531303.8710479774","5.313038710479773","100000","100000"
